Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
10/12/2020,286.95,289.61,286.68,288.46,288.6154,277.646,266.6766,2534786,7.9017,0.9929
10/9/2020,285.61,286.81,284.41,285.93,287.1476,277.2495,267.3514,2549141,7.1402,0.9385
10/8/2020,284.52,284.68,282.69,284.29,285.8698,276.8075,267.7451,2147964,6.5478,0.9128
10/7/2020,280.28,283.67,280.23,282.92,284.7738,276.3825,267.9912,2422621,6.0722,0.8895
10/6/2020,282.54,283.52,277.24,277.72,284.24,276.229,268.218,4364415,5.8003,0.5931
10/5/2020,278.79,281.59,278.75,281.51,284.1021,276.114,268.1259,1862496,5.7861,0.8378
10/2/2020,274.17,278.51,273.6,276.8,284.1509,276.127,268.1031,4771602,5.8118,0.5419
10/1/2020,279.33,280.35,276.57,278.14,285.0721,276.454,267.836,2967993,6.2347,0.5978
9/30/2020,275,280.17,275,277.5,287.8565,277.1075,266.3585,4028462,7.758,0.5183
9/29/2020,275.6,275.98,273.29,274.42,289.1218,277.572,266.0222,1980155,8.322,0.3635
9/28/2020,275.26,277.12,274.72,275.9,289.8734,278.065,266.2566,2790187,8.4933,0.4083
9/25/2020,266.76,272.31,266.23,271.7,290.9438,278.605,266.2662,3606821,8.8576,0.2202
9/24/2020,266.86,270.8777,265.27,268.1,291.4873,279.272,267.0567,4432082,8.748,0.0427
9/23/2020,274.18,274.59,267.08,267.58,291.2349,280.0385,268.8422,3575918,7.9963,-0.0564
9/22/2020,271.67,273.24,269.79,272.81,290.4542,280.7905,271.1268,3169838,6.8832,0.0871
9/21/2020,271.58,272.17,267.05,271.44,290.2932,281.309,272.3248,5936941,6.3874,-0.0492
9/18/2020,279.02,279.4,274.7731,276.52,289.5396,281.7015,273.8635,3156714,5.5648,0.1695
9/17/2020,277.69,281.15,277.09,279.57,289.4491,281.769,274.089,3305288,5.4513,0.3568
9/16/2020,281.54,284.2334,280.7803,281.03,289.5192,281.662,273.8048,2668303,5.5792,0.4598
9/15/2020,282.42,282.9,279.88,280.58,289.5188,281.5205,273.5222,2331755,5.6822,0.4412
9/14/2020,278.92,281.43,278.6721,280.53,289.5069,281.439,273.3711,2371734,5.7333,0.4437
9/11/2020,276.95,278.82,274.96,277.09,289.4931,281.4025,273.3119,2787455,5.7502,0.2335
9/10/2020,281.13,282.17,274.85,275.79,289.4228,281.519,273.6152,3455758,5.6151,0.1376
9/9/2020,278.09,282.49,277.39,279.85,289.2256,281.7315,274.2374,3488892,5.3201,0.3745
9/8/2020,278.82,278.83,275.0105,275.42,289.3127,281.5985,273.8843,4780144,5.4788,0.0995
9/4/2020,284.91,285.79,277.01,281.77,289.096,281.7345,274.373,7145822,5.2259,0.5024
9/3/2020,290.97,292.36,281.1,283.34,289.3647,281.377,273.3893,6118525,5.6776,0.6229
9/2/2020,288.08,292.06,287.6,291.21,289.4679,280.905,272.3421,3464294,6.0966,1.1017
9/1/2020,283.73,286.93,283.17,286.79,287.9604,279.9445,271.9286,3036302,5.7268,0.927
8/31/2020,286.26,286.34,283.8919,284.28,287.8636,279.0255,270.1874,4070137,6.335,0.7973
8/28/2020,286.23,287.45,285,286.7,288.1371,278.1475,268.1579,2715534,7.1829,0.9281
8/27/2020,284.44,286.45,283.68,285.04,287.9039,277.03,266.1561,3432795,7.8504,0.8683
8/26/2020,282.61,283.61,281.57,283.43,287.7101,275.942,264.174,2647495,8.5294,0.8181
8/25/2020,284.23,284.23,281.02,282.62,287.123,275.0455,262.968,3346049,8.7822,0.8136
8/24/2020,281.72,283.25,280.47,283.18,286.5853,274.111,261.6367,2622765,9.1017,0.8635
8/21/2020,277.04,279.61,276.86,279.29,285.477,273.2495,261.022,2601159,8.9497,0.747
8/20/2020,276.04,278.34,275.87,277.87,284.9588,272.5195,260.0802,2063727,9.1291,0.7151
8/19/2020,278.68,279.74,276.97,277.43,284.3926,271.9605,259.5284,3374281,9.1426,0.72
8/18/2020,279.1,279.37,277.11,278.2,283.7865,271.588,259.3895,1678320,8.9831,0.771
8/17/2020,280.14,280.25,278.5,278.95,282.9776,271.095,259.2124,2436887,8.7664,0.8305
8/14/2020,278.23,280.1599,277.9,279.8,281.9358,270.4885,259.0412,2247041,8.4641,0.9067
8/13/2020,279.13,280.22,278.2262,279.42,280.5502,269.8355,259.1208,1668346,7.9416,0.9473
8/12/2020,279.84,280.74,278.72,280.04,279.0422,269.238,259.4338,2650851,7.2829,1.0509
8/11/2020,280.9,281.78,276.47,277.19,277.1413,268.6815,260.2216,4546407,6.2973,1.0029
8/10/2020,275.5099,278.28,275.48,278.14,275.6908,268.1515,260.6122,2313886,5.6232,1.1624
8/7/2020,273.2299,274.82,272.475,274.62,273.9356,267.2965,260.6574,2311296,4.9676,1.0515
8/6/2020,271.63,274.03,271.57,273.9,272.918,266.6065,260.295,1948108,4.7347,1.0778
8/5/2020,269.99,272.27,269.9,272,272.4043,265.7735,259.1427,2133451,4.9898,0.9695
8/4/2020,266.29,268.42,266.03,268.41,271.5379,265.2095,258.8811,1909762,4.7724,0.7529
8/3/2020,265.67,267.15,265.35,266.72,271.4294,264.741,258.0526,2570812,5.0528,0.6479
7/31/2020,263.76,264.49,260.18,264.35,271.2198,264.555,257.8902,3317252,5.0385,0.4846
